X,Y,cod_icao,nm_municip,tipoaero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,geocodigo,tipo_info,icon_url
-38.0216666695964,-12.5650000035419,SNNI,Mata de São João,Nacional,Praia do Forte,18.00000000000,"1",BA,15.00000000000,650.00000000000,PRIV,cascalho,2921005.00000000000,tipo_info,./1.png
-39.2875000029879,-10.4783333368802,SSQP,Monte Santo,Nacional,Monte Santo,30.00000000000,"1",BA,415.00000000000,1000.00000000000,PUB,piçarra,2921500.00000000000,tipo_info,./0.png
-39.1588888917322,-16.9013888919588,SIOV,Porto Seguro,Nacional,Taua,23.00000000000,"1",BA,13.20000000000,1100.00000000000,PRIV,cascalho,2925303.00000000000,tipo_info,./1.png
-39.3580555584128,-16.1830555586707,SJXC,Santa Cruz Cabrália,Nacional,Usina Santa Cruz,30.00000000000,"1",BA,125.00000000000,1400.00000000000,PRIV,asfalto ou concreto Asfáltico,2927705.00000000000,tipo_info,./1.png
-46.2380555583701,-13.0111111137401,SJEW,São Desidério,Nacional,Fazenda Horita,25.00000000000,"1",BA,964.00000000000,1000.00000000000,PRIV,terra,2928901.00000000000,tipo_info,./1.png
-45.9847222250467,-12.9575000026621,SJMZ,São Desidério,Nacional,Fazenda Mizote,25.00000000000,"1",BA,823.00000000000,1100.00000000000,PRIV,cascalho,2928901.00000000000,tipo_info,./1.png
-45.5000000028413,-12.9016666693877,SJGC,São Desidério,Nacional,Fazenda Busato 1,30.00000000000,"1",BA,366.00000000000,1300.00000000000,PRIV,terra,2928901.00000000000,tipo_info,./1.png
-45.7236111139483,-12.8033333360374,SJGD,São Desidério,Nacional,Fazenda Rio Brilhante,20.00000000000,"1",BA,762.00000000000,1200.00000000000,PRIV,terra,2928901.00000000000,tipo_info,./1.png
-46.0958333361586,-12.7983333359961,SJFX,São Desidério,Nacional,Fazenda Santo Ângelo,30.00000000000,"1",BA,853.00000000000,1500.00000000000,PRIV,grama,2928901.00000000000,tipo_info,./1.png
-46.1625000028212,-12.8633333359832,SDCM,São Desidério,Nacional,Sete Povos,20.00000000000,"1",BA,901.00000000000,1300.00000000000,PRIV,terra,2928901.00000000000,tipo_info,./1.png
-45.9236111139473,-12.6194444471412,SJWP,São Desidério,Nacional,Warpol,30.00000000000,"1",BA,808.00000000000,1700.00000000000,PRIV,terra,2928901.00000000000,tipo_info,./1.png
-43.7361111139883,-13.2386111140007,SJZT,Serra Ramalho,Nacional,Aeródromo Busato II,30.00000000000,"1",BA,457.00000000000,1700.00000000000,PRIV,terra,2930154.00000000000,tipo_info,./1.png
-38.7841666696378,-11.04416667023,SDLH,Tucano,Nacional,Caldas do Jorre,25.00000000000,"1",BA,212.00000000000,1100.00000000000,PUB,cascalho,2931905.00000000000,tipo_info,./0.png
-48.0336111136684,-19.9469444461568,SNAF,Água Comprida,Nacional,Fazenda Água Comprida,28.00000000000,"1",MG,674.00000000000,640.00000000000,PRIV,grama,3100708.00000000000,tipo_info,./1.png
-45.6450000026542,-20.2505555575219,SIKK,Arcos,Nacional,Calciolândia,18.00000000000,"1",MG,664.00000000000,890.00000000000,PRIV,terra,3104205.00000000000,tipo_info,./1.png
-45.8716666692959,-21.0388888907334,SNRH,Boa Esperança,Nacional,Rachid Saliba,18.00000000000,"1",MG,800.00000000000,1250.00000000000,PRIV,concreto,3107109.00000000000,tipo_info,./1.png
-43.9425000027699,-17.4058333358156,SNFZ,Bocaiúva,Nacional,Fazenda Villa Terezinha,18.00000000000,"1",MG,843.00000000000,1130.00000000000,PRIV,asfalto ou concreto Asfáltico,3107307.00000000000,tipo_info,./1.png
-46.7630555582881,-15.2605555579223,SNPS,Buritis,Nacional,Pontezinha,18.00000000000,"2",MG,999.00000000000,1155.00000000000,PRIV,asfalto ou concreto Asfáltico,3109303.00000000000,tipo_info,./1.png
-46.4430555582898,-15.6491666690333,SIQZ,Buritis,Nacional,Fazenda Carolina,30.00000000000,"1",MG,570.00000000000,900.00000000000,PRIV,terra,3109303.00000000000,tipo_info,./1.png
-45.4472222249552,-17.080277780118,SNFD,Buritizeiro,Nacional,Fazenda Santo Antônio,30.00000000000,"1",MG,530.00000000000,1400.00000000000,PRIV,terra,3109402.00000000000,tipo_info,./1.png
-45.4863888916217,-17.0352777801181,SNUK,Buritizeiro,Nacional,Fazenda Lago Vermelho,18.00000000000,"1",MG,515.00000000000,980.00000000000,PRIV,cascalho,3109402.00000000000,tipo_info,./1.png
-46.5500000025826,-21.9500000016492,SIYX,Andradas,Nacional,Fazenda Varginha,20.00000000000,"1",MG,1280.00000000000,800.00000000000,PRIV,terra,3110301.00000000000,tipo_info,./1.png
