X,Y,nome,propriet,ini_oper,combust,tipo_info,icon_url
-38.3525693409999,-12.687226521,Camaçari,Braskem S/A,1996/01/01,Gás Natural,tipo_info,./1.png
-56.097,-15.5959999999999,Cuiabá (Antiga Mário Covas),Petróleo Brasileiro S.A,2001/01/01,Gás Natural,tipo_info,./1.png
-41.3285345539999,-21.715543666,Campos (Antiga Roberto Silveira),Furnas Centrais Elétricas S/A.,1968/12/01,Gás Natural,tipo_info,./1.png
-40.3765345539999,-19.7540096659999,Maranhão V (Antiga MC2 João Neiva),UTE Parnaíba Geração de Energia S.A,2013/03/29,Gás Natural,tipo_info,./1.png
-38.873827338,-3.58275731999993,Enguia Pecém,Enguia GEN CE Ltda.,2002/04/18,Óleo Diesel,tipo_info,./0.png
-40.2916745539999,-20.124569665,Sol,Arcelor Mittal Brasil S.A.,2007/06/19,Calor de Processo,tipo_info,./7.png
-48.930359435,-16.39639274,Daia,Usina Termelétrica de Anápolis Ltda.,2002/12/06,Óleo Diesel,tipo_info,./0.png
-46.6786109999999,-23.6988886899999,Fernando Gasparian (Antiga Nova Piratininga),Petróleo Brasileiro S.A.,2004/12/31,Gás Natural,tipo_info,./1.png
-50.390277802,-23.852222051,Figueira,Copel Geração e Transmissão S.A.,1963/01/01,Carvão Mineral,tipo_info,./3.png
-43.73963785,-22.9098634819999,Do Atlântico,Thyssenkrupp CSA  Siderúrgica do Atlântico Ltda.,2011/01/01,Gás de Alto Forno,tipo_info,./5.png
-42.806923554,-5.34184266499994,Nazária,Enguia GEN PI Ltda,2002/07/29,Óleo Diesel,tipo_info,./0.png
-38.643391912,-3.73274187199996,Caucaia,Enguia GEN CE Ltda,2002/04/20,Óleo Diesel,tipo_info,./0.png
-38.566923554,-12.7037876649999,Celso Furtado (Antiga Termobahia Fase I),Petróleo Brasileiro S.A.,2004/02/09,Gás Natural,tipo_info,./1.png
-48.960574997,-28.4490461079999,Jorge Lacerda III,Tractebel Energia S.A.,1979/02/01,Carvão Mineral,tipo_info,./3.png
-35.0245452469999,-8.26891511399998,Termocabo,Termocabo S.A.,2002/09/19,Gás Natural,tipo_info,./1.png
-48.6200022089999,-25.566756863,Heringer,Fertilizantes Heringer S.A.,2010/02/05,Outros Energéticos de Petróleo,tipo_info,./6.png
